Concentration,1,2,Vmax1,Km1,Vmax2,Km2,QH,Clint,ClH,BIOA,EXTR,Delta_BIOA,Delta_EXTR
900.901,0.853105,0.146895,,,,,,0.241063235,0.205652361,0.853105456,0.146894544,-4.56354E-07,4.56354E-07
920.921,0.855553,0.144447,,,,,,0.236368737,0.202225956,0.855552889,0.144447111,1.1125E-07,-1.1125E-07
940.941,0.85792,0.14208,,,,,,0.231853606,0.198911868,0.857920095,0.142079905,-9.45799E-08,9.45799E-08
960.961,0.860211,0.139789,,,,,,0.227507754,0.195704662,0.860210955,0.139789045,4.45934E-08,-4.45934E-08
980.981,0.862429,0.137571,,,,,,0.223321835,0.192599251,0.862429107,0.137570893,-1.06672E-07,1.06672E-07
1001,0.864578,0.135422,,,,,,0.219287378,0.18959101,0.86457785,0.13542215,1.49879E-07,-1.49879E-07
1021.02,0.866661,0.133339,,,,,,0.215395925,0.186675161,0.866660599,0.133339401,4.00989E-07,-4.00989E-07
1041.04,0.86868,0.13132,,,,,,0.211640189,0.183847652,0.868680249,0.131319751,-2.48579E-07,2.48579E-07
1061.06,0.87064,0.12936,,,,,,0.208013191,0.181104526,0.870639624,0.129360376,3.76E-07,-3.76E-07
1081.08,0.872541,0.127459,,,,,,0.204508423,0.178442063,0.872541384,0.127458616,-3.83973E-07,3.83973E-07
1101.1,0.874388,0.125612,,,,,,0.201119809,0.175856754,0.874388033,0.125611967,-3.27571E-08,3.27571E-08
1121.12,0.876182,0.123818,,,,,,0.197841667,0.173345294,0.876181933,0.123818067,6.72629E-08,-6.72629E-08
1141.14,0.877925,0.122075,,,,,,0.194668682,0.170904563,0.877925312,0.122074688,-3.11886E-07,3.11886E-07
1161.16,0.87962,0.12038,,,,,,0.191595873,0.168531614,0.879620275,0.120379725,-2.75316E-07,2.75316E-07
1181.18,0.881269,0.118731,,,,,,0.188618569,0.166223663,0.881268813,0.118731187,1.87385E-07,-1.87385E-07
1201.2,0.882873,0.117127,,,,,,0.185732387,0.163978074,0.882872805,0.117127195,1.95309E-07,-1.95309E-07
1221.22,0.884434,0.115566,,,,,,0.182933206,0.161792353,0.884434033,0.115565967,-3.34092E-08,3.34092E-08
1241.24,0.885954,0.114046,,,,,,0.180217149,0.159664138,0.885954187,0.114045813,-1.873E-07,1.873E-07
1261.26,0.887435,0.112565,,,,,,0.177580568,0.157591188,0.887434866,0.112565134,1.33979E-07,-1.33979E-07
1281.28,0.888878,0.111122,,,,,,0.175020026,0.155571378,0.888877587,0.111122413,4.13119E-07,-4.13119E-07
1301.3,0.890284,0.109716,,,,,,0.172532278,0.153602691,0.890283792,0.109716208,2.07682E-07,-2.07682E-07
1321.32,0.891655,0.108345,,,,,,0.170114265,0.151683209,0.89165485,0.10834515,1.49644E-07,-1.49644E-07
1341.34,0.892992,0.107008,,,,,,0.167763094,0.149811111,0.892992063,0.107007937,-6.32511E-08,6.32511E-08
1361.36,0.894297,0.105703,,,,,,0.165476032,0.147984664,0.894296668,0.105703332,3.31522E-07,-3.31522E-07
1381.38,0.89557,0.10443,,,,,,0.163250491,0.146202217,0.895569845,0.104430155,1.54949E-07,-1.54949E-07
1401.4,0.896813,0.103187,,,,,,0.161084022,0.144462199,0.896812715,0.103187285,2.85072E-07,-2.85072E-07
1421.42,0.898026,0.101974,,,,,,0.158974304,0.142763114,0.898026347,0.101973653,-3.47457E-07,3.47457E-07
1441.44,0.899212,0.100788,,,,,,0.156919136,0.141103533,0.899211762,0.100788238,2.37726E-07,-2.37726E-07
1461.46,0.90037,0.09963,,,,,,0.154916429,0.139482095,0.900369932,0.099630068,6.76427E-08,-6.76427E-08
1481.48,0.901502,0.0984981,,,,,,0.152964199,0.137897499,0.901501787,0.098498213,2.13351E-07,-1.13351E-07
1501.5,0.902608,0.0973917,,,,,,0.151060562,0.136348504,0.902608212,0.097391788,-2.11632E-07,-8.83678E-08
1521.52,0.90369,0.0963099,,,,,,0.149203726,0.134833923,0.903690055,0.096309945,-5.47708E-08,-4.52292E-08
1541.54,0.904748,0.0952518,,,,,,0.147391985,0.133352623,0.904748127,0.095251873,-1.26894E-07,-7.31057E-08
1561.56,0.905783,0.0942167,,,,,,0.145623717,0.131903517,0.905783202,0.094216798,-2.02342E-07,-9.7658E-08
1581.58,0.906796,0.0932039,,,,,,0.143897375,0.130485568,0.906796023,0.093203977,-2.32784E-08,-7.67216E-08
1601.6,0.907787,0.0922126,,,,,,0.142211486,0.129097781,0.907787299,0.092212701,-2.99413E-07,-1.00587E-07
1621.62,0.908758,0.0912422,,,,,,0.140564645,0.127739205,0.908757711,0.091242289,2.89284E-07,-8.92841E-08
1641.64,0.909708,0.090292,,,,,,0.138955509,0.126408926,0.90970791,0.09029209,8.97891E-08,-8.97891E-08
1661.66,0.910639,0.0893614,,,,,,0.137382799,0.125106069,0.910638522,0.089361478,4.77889E-07,-7.78892E-08
1681.68,0.91155,0.0884498,,,,,,0.135845292,0.123829795,0.911550146,0.088449854,-1.45898E-07,-5.41016E-08
1701.7,0.912443,0.0875566,,,,,,0.134341818,0.1225793,0.912443358,0.087556642,-3.5752E-07,-4.24795E-08
