Function,Concentration,Predicted
1,5185.19,0.0459175
1,5205.21,0.0457445
1,5225.23,0.0455727
1,5245.25,0.0454023
1,5265.27,0.0452331
1,5285.29,0.0450652
1,5305.31,0.0448985
1,5325.33,0.044733
1,5345.35,0.0445688
1,5365.37,0.0444057
1,5385.39,0.0442439
1,5405.41,0.0440832
1,5425.43,0.0439237
1,5445.45,0.0437653
1,5465.47,0.0436081
1,5485.49,0.043452
1,5505.51,0.043297
1,5525.53,0.0431431
1,5545.55,0.0429903
1,5565.57,0.0428386
1,5585.59,0.042688
1,5605.61,0.0425384
1,5625.63,0.0423898
1,5645.65,0.0422423
1,5665.67,0.0420958
1,5685.69,0.0419503
1,5705.71,0.0418058
1,5725.73,0.0416624
1,5745.75,0.0415198
1,5765.77,0.0413783
1,5785.79,0.0412377
1,5805.81,0.0410981
1,5825.83,0.0409594
1,5845.85,0.0408217
1,5865.87,0.0406849
1,5885.89,0.040549
1,5905.91,0.040414
1,5925.93,0.0402799
1,5945.95,0.0401466
1,5965.97,0.0400143
1,5985.99,0.0398828
1,6006.01,0.0397522
1,6026.03,0.0396225
1,6046.05,0.0394936
1,6066.07,0.0393655
1,6086.09,0.0392382
1,6106.11,0.0391118
1,6126.13,0.0389862
1,6146.15,0.0388614
1,6166.17,0.0387374
1,6186.19,0.0386141
1,6206.21,0.0384917
1,6226.23,0.03837
1,6246.25,0.0382491
1,6266.27,0.038129
1,6286.29,0.0380096
1,6306.31,0.0378909
1,6326.33,0.037773
1,6346.35,0.0376558
1,6366.37,0.0375394
1,6386.39,0.0374236
1,6406.41,0.0373086
1,6426.43,0.0371943
1,6446.45,0.0370807
1,6466.47,0.0369678
1,6486.49,0.0368555
1,6506.51,0.036744
1,6526.53,0.0366331
1,6546.55,0.0365228
1,6566.57,0.0364133
1,6586.59,0.0363044
1,6606.61,0.0361961
1,6626.63,0.0360885
1,6646.65,0.0359815
1,6666.67,0.0358752
1,6686.69,0.0357695
1,6706.71,0.0356644
1,6726.73,0.0355599
1,6746.75,0.035456
1,6766.77,0.0353528
1,6786.79,0.0352501
1,6806.81,0.035148
1,6826.83,0.0350466
1,6846.85,0.0349457
1,6866.87,0.0348454
1,6886.89,0.0347456
1,6906.91,0.0346464
1,6926.93,0.0345478
1,6946.95,0.0344498
1,6966.97,0.0343523
1,6986.99,0.0342554
1,7007.01,0.034159
1,7027.03,0.0340631
1,7047.05,0.0339678
1,7067.07,0.033873
1,7087.09,0.0337787
1,7107.11,0.033685
1,7127.13,0.0335918
1,7147.15,0.0334991
1,7167.17,0.0334069
1,7187.19,0.0333152
1,7207.21,0.033224
1,7227.23,0.0331333
1,7247.25,0.0330431
1,7267.27,0.0329534
1,7287.29,0.0328642
1,7307.31,0.0327755
1,7327.33,0.0326872
1,7347.35,0.0325994
1,7367.37,0.0325121
1,7387.39,0.0324253
1,7407.41,0.0323389
1,7427.43,0.032253
1,7447.45,0.0321675
1,7467.47,0.0320825
1,7487.49,0.0319979
1,7507.51,0.0319138
1,7527.53,0.0318301
1,7547.55,0.0317468
1,7567.57,0.031664
1,7587.59,0.0315816
1,7607.61,0.0314997
1,7627.63,0.0314182
1,7647.65,0.0313371
1,7667.67,0.0312564
1,7687.69,0.0311761
1,7707.71,0.0310962
1,7727.73,0.0310168
1,7747.75,0.0309377
1,7767.77,0.0308591
1,7787.79,0.0307808
1,7807.81,0.030703
1,7827.83,0.0306255
1,7847.85,0.0305484
1,7867.87,0.0304717
1,7887.89,0.0303954
1,7907.91,0.0303195
1,7927.93,0.030244
1,7947.95,0.0301688
1,7967.97,0.030094
1,7987.99,0.0300196
1,8008.01,0.0299455
1,8028.03,0.0298718
1,8048.05,0.0297985
1,8068.07,0.0297255
1,8088.09,0.0296529
1,8108.11,0.0295807
1,8128.13,0.0295087
1,8148.15,0.0294372
1,8168.17,0.029366
1,8188.19,0.0292951
1,8208.21,0.0292246
1,8228.23,0.0291544
1,8248.25,0.0290845
1,8268.27,0.029015
1,8288.29,0.0289458
1,8308.31,0.028877
1,8328.33,0.0288084
1,8348.35,0.0287402
1,8368.37,0.0286723
1,8388.39,0.0286048
1,8408.41,0.0285375
1,8428.43,0.0284706
1,8448.45,0.028404
1,8468.47,0.0283376
1,8488.49,0.0282716
1,8508.51,0.028206
1,8528.53,0.0281406
1,8548.55,0.0280755
1,8568.57,0.0280107
1,8588.59,0.0279462
1,8608.61,0.027882
1,8628.63,0.0278181
1,8648.65,0.0277545
1,8668.67,0.0276912
1,8688.69,0.0276282
1,8708.71,0.0275654
1,8728.73,0.027503
1,8748.75,0.0274408
1,8768.77,0.0273789
1,8788.79,0.0273173
1,8808.81,0.027256
1,8828.83,0.0271949
1,8848.85,0.0271341
1,8868.87,0.0270736
1,8888.89,0.0270133
1,8908.91,0.0269534
1,8928.93,0.0268936
1,8948.95,0.0268342
1,8968.97,0.026775
1,8988.99,0.0267161
