Concentration,1,2,Vmax1,Km1,Vmax2,Km2,QH,Clint,ClH,Delta_Clint,Delta_ClH
1281.28,0.17502,0.155571,,,,,,0.175020026,0.155571378,-2.56191E-08,-3.78066E-07
1301.3,0.172532,0.153603,,,,,,0.172532278,0.153602691,-2.78104E-07,3.09163E-07
1321.32,0.170114,0.151683,,,,,,0.170114265,0.151683209,-2.64771E-07,-2.0932E-07
1341.34,0.167763,0.149811,,,,,,0.167763094,0.149811111,-9.39192E-08,-1.11384E-07
1361.36,0.165476,0.147985,,,,,,0.165476032,0.147984664,-3.15597E-08,3.36222E-07
1381.38,0.16325,0.146202,,,,,,0.163250491,0.146202217,-4.90805E-07,-2.16773E-07
1401.4,0.161084,0.144462,,,,,,0.161084022,0.144462199,-2.21071E-08,-1.99187E-07
1421.42,0.158974,0.142763,,,,,,0.158974304,0.142763114,-3.04264E-07,-1.13773E-07
1441.44,0.156919,0.141103,,,,,,0.156919136,0.141103533,-1.36119E-07,-5.32913E-07
1461.46,0.154916,0.139482,,,,,,0.154916429,0.139482095,-4.28902E-07,-9.46206E-08
1481.48,0.152964,0.137897,,,,,,0.152964199,0.137897499,-1.99145E-07,-4.98809E-07
1501.5,0.15106,0.136348,,,,,,0.151060562,0.136348504,-5.62126E-07,-5.03818E-07
1521.52,0.149204,0.134834,,,,,,0.149203726,0.134833923,2.74193E-07,7.68365E-08
1541.54,0.147392,0.133353,,,,,,0.147391985,0.133352623,1.48027E-08,3.7749E-07
1561.56,0.145624,0.131903,,,,,,0.145623717,0.131903517,2.82864E-07,-5.16832E-07
1581.58,0.143897,0.130485,,,,,,0.143897375,0.130485568,-3.75438E-07,-5.6777E-07
1601.6,0.142211,0.129098,,,,,,0.142211486,0.129097781,-4.86389E-07,2.18858E-07
1621.62,0.140565,0.127739,,,,,,0.140564645,0.127739205,3.55458E-07,-2.04619E-07
1641.64,0.138955,0.126409,,,,,,0.138955509,0.126408926,-5.08815E-07,7.44487E-08
1661.66,0.137383,0.125106,,,,,,0.137382799,0.125106069,2.01156E-07,-6.89158E-08
